SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,543 Tennyson Ave,Palo Alto,CA,94301,16800000,6,6.5,PALO ALTO,5985,10000,2023,74,2807,,Active,,,https://www.redfin.com/CA/Palo-Alto/543-Tennyson-Ave-94301/home/1111786,MLSListings,ML81916021,N,Y,37.4389411,-122.1426927
MLS Listing,,Condo/Co-op,1458 Hudson St #216,Redwood City,CA,94061,729000,2,1.0,Redwood City,980,49080,1970,75,744,756,Active,,,https://www.redfin.com/CA/Redwood-City/1458-Hudson-St-94061/unit-216/home/1336868,San Francisco MLS,423716119,N,Y,37.4696922,-122.2274755
MLS Listing,,Single Family Residential,18200 Skyline Blvd,Woodside,CA,94062,3699000,3,3.5,WOODSIDE,3830,245678,1989,76,966,,Active,,,https://www.redfin.com/CA/Redwood-City/18200-Skyline-Blvd-94062/home/177488333,MLSListings,ML81916837,N,Y,37.3726055,-122.258661
MLS Listing,,Single Family Residential,94 Melanie Ln,Atherton,CA,94027,25000000,7,10.0,ATHERTON,11656,44370,2022,77,2145,,Active,,,https://www.redfin.com/CA/Atherton/Undisclosed-address-94027/home/896262,MLSListings,ML81914356,N,Y,37.4387214,-122.2300906
MLS Listing,,Single Family Residential,770 S San Tomas Aquino Rd,Campbell,CA,95008,1799000,4,2.0,CAMPBELL,1234,8692,1955,77,1458,,Active,April-8-2023 02:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Campbell/770-S-San-Tomas-Aquino-Rd-95008/home/830677,MLSListings,ML81916637,N,Y,37.2760827,-121.9707504
MLS Listing,,Single Family Residential,155 Brookwood Rd,Woodside,CA,94062,5980000,5,3.0,Woodside,3000,45269,1953,77,1993,150,Active,,,https://www.redfin.com/CA/Woodside/155-Brookwood-Rd-94062/home/1995921,San Francisco MLS,423716900,N,Y,37.4456612,-122.2460307
MLS Listing,,Single Family Residential,340 Coleridge Ave,Palo Alto,CA,94301,13880000,5,4.0,PALO ALTO,3477,15000,1915,78,3992,,Active,,,https://www.redfin.com/CA/Palo-Alto/340-Coleridge-Ave-94301/home/1706774,MLSListings,ML81916751,N,Y,37.4377575,-122.1471508
MLS Listing,,Single Family Residential,2149 Hillcrest Rd,Redwood City,CA,94062,2700000,4,4.0,REDWOOD CITY,3778,11700,1958,79,715,,Active,April-8-2023 01:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/2149-Hillcrest-Rd-94062/home/1984027,MLSListings,ML81916669,N,Y,37.473772,-122.2588086
MLS Listing,,Multi-Family (2-4 Unit),1952 Menalto Ave,Menlo Park,CA,94025,3495000,7,4.0,MENLO PARK,5045,18445,1948,80,693,,Active,,,https://www.redfin.com/CA/Menlo-Park/1952-Menalto-Ave-94025/home/868493,MLSListings,ML81916464,N,Y,37.4599763,-122.15152
MLS Listing,,Multi-Family (2-4 Unit),1950 Menalto Ave,Menlo Park,CA,94025,2495000,3,2.0,MENLO PARK,1340,10270,1921,80,1862,,Active,,,https://www.redfin.com/CA/Menlo-Park/1950-Menalto-Ave-94025/home/866297,MLSListings,ML81916462,N,Y,37.4598939,-122.1520373
